Customer,Product_Group,Recency,Avg_Price_L3Y,Revenue_L12,Customer_Size,l3y_volume,standard_cost,l12_sales_vol,Current_Price
10018,Product_A,9,29.3,243,38827.46,34.89,10,11.6,32.23
10024,Product_A,5,53.6,627,4051.66,42.84,10,14.3,58.96
10031,Product_A,2,60.6,2362,12182.45,116.86,10,39,66.66
10064,Product_A,5,39.8,336,31729.38,26.61,10,8.9,43.78
10117,Product_A,12,37.5,135,135.11,3.6,10,1.2,41.25
10147,Product_A,6,39.1,159,2723.91,19.13,10,6.4,43.01
10149,Product_A,1,28.6,116,11167.05,16.22,10,5.4,31.46
10201,Product_A,4,11.9,246,250180.1,99.39,10,33.1,13.09
10230,Product_A,1,60.3,1311,7035.29,77.31,10,25.8,66.33
10243,Product_A,1,52.5,4230,23055.11,176.88,10,59,57.75
10262,Product_A,9,39.5,157,7400.52,14.96,10,5,43.45
10302,Product_A,1,20,748,70006.04,37.4,10,12.5,22
13597,Product_A,2,26.9,1497,16955.38,124.53,10,41.5,29.59
13827,Product_A,4,48.6,1008,25365.32,54.44,10,18.1,53.46
13886,Product_A,3,33.4,1066,18172.37,132.5,10,44.2,36.74
14007,Product_A,2,48,180,1178.13,3.74,10,1.2,52.8
14057,Product_A,5,41.6,366,3080.1,29.94,10,10,45.76
14471,Product_A,3,53.8,1471,7554.98,53.2,10,17.7,59.18
14548,Product_A,1,28.1,838,23253.94,200.29,10,66.8,30.91
14596,Product_A,2,52.6,838,11714.52,83.25,10,27.8,57.86
14598,Product_A,2,31.4,122,3459.03,14.44,10,4.8,34.54
14607,Product_A,1,28.1,1190,27064.97,87.02,10,29,30.91
14635,Product_A,4,26.8,119,6125.17,76.61,10,25.5,29.48
15351,Product_A,5,29,108,149.34,3.74,10,1.2,31.9
15457,Product_A,3,34.6,416,49810.55,43.25,10,14.4,38.06
15691,Product_A,8,32.3,128,19157.79,49.87,10,16.6,35.53
15693,Product_A,10,46.8,183,1548.6,7.45,10,2.5,51.48
15818,Product_A,4,52.1,1573,9471.72,60.33,10,20.1,57.31
15826,Product_A,4,37.6,236,56997.46,19.54,10,6.5,41.36
15892,Product_A,2,25.4,519,2910.66,60.71,10,20.2,27.94
15981,Product_A,2,30.8,146,16747.51,94.94,10,31.6,33.88
15989,Product_A,8,40,504,2584.04,27.2,10,9.1,44
15995,Product_A,5,52.4,1021,9253.06,22.87,10,7.6,57.64
16091,Product_A,5,31.2,197,3712.24,46.53,10,15.5,34.32
16092,Product_A,8,25.9,109,18492.93,189.72,10,63.2,28.49
16124,Product_A,2,40,704,9378.99,91.83,10,30.6,44
16140,Product_A,8,28.8,849,14328.56,166.9,10,55.6,31.68
16151,Product_A,4,49,408,10373.42,46.16,10,15.4,53.9
16188,Product_A,1,21.8,835,21160.26,93.37,10,31.1,23.98
16235,Product_A,7,55.2,214,2526.22,16.22,10,5.4,60.72
16246,Product_A,5,16.7,196,24952.36,37.74,10,12.6,18.37
16250,Product_A,10,46.3,199,17160.81,27.03,10,9,50.93
16302,Product_A,1,28.1,1070,11020.71,112.8,10,37.6,30.91
16391,Product_A,1,42.2,1412,11247.61,86.54,10,28.8,46.42
16574,Product_A,3,40.9,145,2086.28,23.29,10,7.8,44.99
19395,Product_A,1,36.5,831,13888.1,153.18,10,51.1,40.15
19570,Product_A,4,22,336,55419.28,19.15,10,6.4,24.2
19978,Product_A,9,61.8,241,2531.06,18.7,10,6.2,67.98
20009,Product_A,7,37.5,904,18814.5,59.02,10,19.7,41.25
20026,Product_A,1,24.1,3522,113929.75,481.94,10,160.6,26.51
20083,Product_A,1,41.2,931,78712.65,87.73,10,29.2,45.32
20146,Product_A,1,20.1,1053,239182.93,216.33,10,72.1,22.11
20150,Product_A,3,36.1,293,1392.18,14.97,10,5,39.71
20165,Product_A,2,33.7,162,4429.93,74.03,10,24.7,37.07
20179,Product_A,4,61.4,1068,2389.87,30.82,10,10.3,67.54
20187,Product_A,7,56.4,1379,58829.4,54.47,10,18.2,62.04
20210,Product_A,1,30.1,1018,19267.68,129.27,10,43.1,33.11
20220,Product_A,6,52.4,388,4420.09,14.35,10,4.8,57.64
20236,Product_A,2,22.7,815,31711.92,67.79,10,22.6,24.97
20266,Product_A,6,64.3,1244,1796.05,22.87,10,7.6,70.73
20267,Product_A,10,61.6,478,1258.25,14.96,10,5,67.76
20278,Product_A,1,54.7,607,47690.13,34.48,10,11.5,60.17
20324,Product_A,1,33.4,397,2732.38,57.36,10,19.1,36.74
20345,Product_A,11,39.1,282,9119.5,21.81,10,7.3,43.01
20355,Product_A,3,34,120,155.36,3.54,10,1.2,37.4
20358,Product_A,8,53,612,6386.65,37.84,10,12.6,58.3
20359,Product_A,1,53.1,418,3412.6,41.55,10,13.9,58.41
20360,Product_A,8,59.4,247,3791.76,4.16,10,1.4,65.34
