Index,Contract_Execution_Date,PMT_No.,Item_No,Sales_Contract_No.,Contract/Spot,Sold_to_Customer_Name,Sold_to_Customer_Code,Customer_Type,Customer_Industry,Grade,Material,Payment_Term,Incoterm,Country,Destination_Port,City_State,Shipping_Condition,Export/Domestic,Cross_Boarder,Plant,RETA,BL_Date,EXCHANGE_RATE,QUANTITY,UOM,Currency,FLOOR_PRICE,NORMALISED_INVOICE_PRICE,REFERENCE_MARKET_PRICE,Price_Premium,PRODUCTBASEPRICE,GRADEALPHA,INVOICEPRICE
1,8/4/2017,QTN-0000012192-1,1,30010898,QUOTATION,DURA-MINE SDN BHD.,8010000770,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZB30,DAP,Malaysia,MYSG00 KLANG VALLEY,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.29,22,MT,USD,1070,1150.98423,1086.25,64.73423,1090,20,1177
2,11/22/2017,QTN-0000013779-1,1,30012429,QUOTATION,CJ POLYMERS SDN. BHD.,8010000714,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT60SBLC,CFR,Bangladesh,BDCGP CHITTAGONG,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.22,306,MT,USD,1290,1235.5813,1288.75,-53.1686999999999,1290,41.669931372549,1279.99993137254
3,9/11/2017,QTN-0000012648-1,1,30011297,QUOTATION,SUMIKENG (M) SDN BHD,8010001403,Distributor / Trader,Mfg-Petroleum Prod,HD5201AA,72000539,ZM60,DAP,Malaysia,MYPG04 PRAI,MYPG04 PRAI,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.29,22,MT,USD,1170,1230.01552,1135,95.0155199999999,1160,53.0809545454545,1261.00095454545
4,5/15/2017,QTN-0000010801-1,2,30009609,QUOTATION,ZHEJIANG FUTURE PETROCHEMICAL,8010001559,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,LC60,CFR,Hong Kong,HKHKG HONG KONG PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,0,102,MT,USD,1190,1202.83563,1302.5,-99.66437,1310,78.4077352941176,1207.00226470588
5,8/6/2018,QTN-0000018707-1,1,30016459,QUOTATION,CHONG WAH PLASTICS SDN BHD,8010000709,End Customer,Mfg-Petroleum Prod,LL0209SA,72000608,ZB60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.04,180,MT,USD,1190,1312.38099,1181.25,131.13099,1210,21.5663722222222,1336.99637222222
6,6/8/2017,QTN-0000011283-1,2,30010033,QUOTATION,ZHEJIANG FUTURE PETROCHEMICAL,8010001559,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,LC60,CFR,China,CNSHA SHANGHAI,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.4,123.75,MT,USD,1140,1153.969,1152.5,1.46900000000005,1260,58.4724686868686,1166.99753535353
7,6/8/2017,QTN-0000011348-1,1,30010010,QUOTATION,UNIPLAST POLYMERS SDN BHD,8010001505,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,ZB60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG30 BATU CAVES,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M059,00:00.0,00:00.0,4.3,22,MT,MYR,5332.00024,5522.99983,5466.37524,56.6245899999994,5418.00022727272,93.0137272727272,5650.00395454545
8,6/8/2017,QTN-0000011190-1,1,30010008,QUOTATION,BETAFOAM CORPORATION,8010000645,End Customer,Mfg-Petroleum Prod,C150Y,72000448,LC00,CFR,Philippines,PHMNL MANILA,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.4,52,MT,USD,1220,1285,1271.25,13.75,1260,15,1300
9,5/11/2017,QTN-0000010730-1,1,30009520,QUOTATION,UNIPLAST POLYMERS SDN BHD,8010001505,Distributor / Trader,Mfg-Petroleum Prod,HD5301AA,72000544,ZB60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG30 BATU CAVES,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,0,44,MT,USD,1150,1136.97948,1163.75,-26.77052,1170,21.5145909090909,1166.00459090909
10,9/5/2018,QTN-0000019232-1,1,30016933,QUOTATION,DIC COMPOUNDS (MALAYSIA),8010000757,End Customer,Mfg-Petroleum Prod,M022X,72000628,ZM60,DAP,Malaysia,MYPG06 PENANG,MYPG06 PENANG,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M169,00:00.0,00:00.0,4.1,44,MT,USD,1180,1334.63349,1197.5,137.13349,1190,33.1586363636363,1340.99863636363
11,12/6/2018,QTN-0000020778-1,1,30018760,QUOTATION,TOSIN PACKAGING (M) SDN BHD,8010001477,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZM30,DAP,Malaysia,MYKD01 ALOR SETAR,MYPG06 PENANG,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.19,22,MT,USD,1120,1242.27072,1218,24.27072,1140,20,1265
12,1/4/2019,QTN-0000021334-1,1,30019288,QUOTATION,UNIPLAST POLYMERS SDN BHD,8010001505,Distributor / Trader,Mfg-Petroleum Prod,HD5201AA,72000539,ZB60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.16,286,MT,USD,1110,1116.06746,1098.33333,17.7341300000001,1100,51.4628076923076,1140.0028076923
13,1/31/2019,QTN-0000022084-1,1,30019844,QUOTATION,"PRO-CHEM (HONG KONG) CO., LIMITED",8010005309,Distributor / Trader,Trading,C150Y,72000448,LC60,CFR,China,CHINA MAIN PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,,4.16,391,MT,USD,950,1026.44595,993.33333,33.11262,1040,-48.7184245524296,1030.00157544757
14,11/16/2017,QTN-0000013881-1,2,30012412,QUOTATION,WESCO CHINA LIMITED,8010004900,Distributor / Trader,Trading,C150Y,72000448,TT00,CFR,Taiwan,TWKEL KEELUNG,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,,4.22,51,MT,USD,1250,1282.20932,1288.75,-6.54068000000007,1290,0,1280
15,1/4/2018,QTN-0000014650-1,6,30013106,QUOTATION,COMMERCIAL PLASTIC INDUSTRIES,8010000729,Distributor / Trader,Mfg-Petroleum Prod,LL3840UA,72000617,ZM60,DAP,Malaysia,MYSG00 KLANG VALLEY,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.06,154,MT,USD,1250,1306.17328,1191.25,114.92328,1240,53.2880844155844,1332.49808441558
16,11/30/2017,QTN-0000014088-1,1,30012532,QUOTATION,"PROPLUS SOURCING CO., LTD.",8010001214,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT03,DDP,Thailand,THBKK BANGKOK,THBKK BANGKOK,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,,32.6646,510,MT,USD,1200,1276.87058,1273.75,3.12058000000002,1240,5,1275
17,8/10/2018,QTN-0000018840-1,1,30016610,QUOTATION,"ISONO CO., LTD.",8010006642,End Customer,Mfg-Chemical Product,M022X,72000628,TT00,CFR,Japan,JPHTD HAKATA,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,,4.04,17,MT,USD,1180,1272.19205,1217.5,54.6920500000001,1190,30,1270
18,3/7/2018,QTN-0000015947-1,2,30014020,QUOTATION,STENTA FILMS (M) SDN BHD,8010001396,End Customer,Mfg-Petroleum Prod,LL0209SA,72000608,ZB30,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,,3.9,45,MT,USD,1285,1273.8824,1265,8.88239999999996,1305,20,1295
19,4/11/2018,QTN-0000016820-1,1,30014651,QUOTATION,"INTERCORDIA CO., LTD",8010000926,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT60SBLC,CFR,Vietnam,VNHAP HAI PHONG,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,3.9,17,MT,USD,1220,1265.617,1283,-17.383,1260,1.63111764705882,1270.00111764705
20,2/6/2018,QTN-0000014383-3,1,30013565,QUOTATION,MEGASTRIKE INTERNATIONAL,8010001056,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT00,CFR,Vietnam,VNHAP HAI PHONG,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.15,102,MT,USD,1200,1257.16616,1273.75,-16.58384,1240,0,1255
21,2/9/2018,QTN-0000015491-1,1,30013693,QUOTATION,"POLYROCKS CHEMICAL CO., LTD",8010006532,End Customer,Mfg-Others,C150Y,72000448,LC00,CFR,China,CNHUA HUANGPUSUIGANG,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,,3.85,102,MT,USD,1230,1280,1202.5,77.5,1270,0,1280
22,9/12/2018,QTN-0000019311-1,1,30017075,QUOTATION,NEW ENGINEERING SDN BHD,8010001105,End Customer,Mfg-Petroleum Prod,C150Y,72000448,ZM60,DAP,Malaysia,MYSG00 KLANG VALLEY,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M169,00:00.0,00:00.0,4.1,22,MT,USD,1150,1261.98229,1197.5,64.4822899999999,1190,3.08095454545454,1268.00095454545
23,9/7/2018,QTN-0000019284-1,2,30017038,QUOTATION,MERIT INDUSTRIES SDN BHD,8010001060,End Customer,Mfg-Petroleum Prod,C150Y,72000448,ZM60,DAP,Malaysia,MYPR16 KAMUNTING,MYPR16 KAMUNTING,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M169,00:00.0,00:00.0,4.1,66,MT,USD,1150,1238.09621,1197.5,40.5962099999999,1190,3.08095454545454,1244.00095454545
24,9/5/2018,QTN-0000019249-1,2,30016985,QUOTATION,TOSIN PACKAGING (M) SDN BHD,8010001477,End Customer,Mfg-Petroleum Prod,LL0209SA,72000608,ZM30,DAP,Malaysia,MYPG06 PENANG,MYPG06 PENANG,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.1,22.5,MT,USD,1180,1343.05281,1165,178.05281,1200,20,1366
25,5/30/2017,QTN-0000010793-1,1,30009780,QUOTATION,VINCOM COMMODITIES LIMITED,8010001521,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,LC00,CFR,India,INCCU KOLKATA,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,0,340,MT,USD,1310,1270,1302.5,-32.5,1310,40,1310
26,1/15/2018,QTN-0000014904-1,1,30013319,QUOTATION,BNH MANUFACTURER SDN BHD,8010000654,End Customer,Mfg-Petroleum Prod,LL3840UA,72000617,ZB60,DAP,Malaysia,MYKD01 ALOR SETAR,MYPR06 CHEMOR,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.06,308,MT,USD,1250,1302.92143,1191.25,111.67143,1240,51.6440422077922,1327.50404220779
27,12/7/2017,QTN-0000014124-1,1,30012706,QUOTATION,EURO PLAS-PACK INDUSTRIES,8010000793,End Customer,Mfg-Petroleum Prod,C150Y,72000448,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M059,00:00.0,00:00.0,4.15,16.5,MT,MYR,5063.00012,5370.14715,5286.06262,84.0845300000001,5146.00012121212,96.3232121212121,5500.00333333333
28,6/1/2017,QTN-0000011079-1,1,30009878,QUOTATION,CJ POLYMERS SDN. BHD.,8010000714,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT60SBLC,CFR,Bangladesh,BDCGP CHITTAGONG,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.4,901,MT,USD,1260,1235.58246,1271.25,-35.6675399999999,1260,41.6310954495005,1280.0010954495
